"id","firstName","lastName","gender","birthDate","deathDate","height"
"66","Adelle","Bartell","FEMALE","-1678606379100","1634917660900","173","Adelle Bartell"
"67","Bobbie","Ankunding","FEMALE","182843051010","2581217051010","170","Bobbie Ankunding"
"68","Forrest","Murray","MALE","700165572987","2814459972987","173","Forrest Murray"
"69","Pattie","Luettgen","FEMALE","-1844232298923","207077741077","167","Pattie Luettgen"
"70","Francesca","King","FEMALE","460295836494","2732443036494","174","Francesca King"
"71","Llewellyn","Hintz","FEMALE","-2032242534125","271441905875","203","Llewellyn Hintz"
"72","Thaddeus","Morar","FEMALE","641941460582","3229707860582","170","Thaddeus Morar"
"73","Marta","Corkery","MALE","-471342101539","1769269098461","174","Marta Corkery"
"74","Janie","Roob","FEMALE","-2013461733267","-340929293267","167","Janie Roob"
"75","Krystel","Johnson","FEMALE","881499223707","3122110423707","168","Krystel Johnson"
"76","Ricardo","Larkin","MALE","-2021857179867","408057660133","184","Ricardo Larkin"
"77","Uriah","Adams","MALE","-865203700006","1375407499994","169","Uriah Adams"
"78","Hermina","Eichmann","FEMALE","912091941255","3720696741255","166","Hermina Eichmann"
"79","Adaline","Batz","MALE","-2194723546819","487648493181","179","Adaline Batz"
"80","Eden","Runolfsson","FEMALE","-1043012482254","1513131517746","180","Eden Runolfsson"
"81","Margret","Cormier","FEMALE","145995450742","2449678650742","170","Margret Cormier"
"82","Shanel","Nicolas","MALE","-1860552146384","979676293616","173","Shanel Nicolas"
"83","Cristopher","Cartwright","MALE","-431571786596","2534795813404","186","Cristopher Cartwright"
"84","Everardo","O'Reilly","MALE","-930098700751","2730582899249","169","Everardo O'Reilly"
"85","Cecelia","Zemlak","MALE","-518128011489","1911785588511","176","Cecelia Zemlak"
"86","Joelle","Gulgowski","MALE","-567603681033","2461925918967","176","Joelle Gulgowski"
"87","Elyssa","Mitchell","FEMALE","-378304178212","2430300621788","158","Elyssa Mitchell"
"88","Brandt","Zemlak","MALE","-1101107684848","287426715152","178","Brandt Zemlak"
"89","Earnestine","Farrell","MALE","-1401481546772","523506853228","170","Earnestine Farrell"
"90","Santa","Heller","MALE","79377270448","2288362470448","168","Santa Heller"
"91","Nedra","Christiansen","FEMALE","-643818778854","1880789221146","182","Nedra Christiansen"
"92","Octavia","Ullrich","FEMALE","-1334090221566","811826578434","175","Octavia Ullrich"
"93","Kiara","Schmidt","MALE","825699098377","2403535898377","158","Kiara Schmidt"
"94","Jaclyn","Greenfelder","FEMALE","-842310854797","1934757945203","178","Jaclyn Greenfelder"
"95","Fatima","Zemlak","FEMALE","-1028862389117","959284410883","182","Fatima Zemlak"
"96","Rae","Schamberger","MALE","626321391782","3277159791782","177","Rae Schamberger"
"97","Milton","Moen","FEMALE","777932773331","3302540773331","167","Milton Moen"
"98","Titus","Schneider","MALE","-1060726154770","1337647845230","183","Titus Schneider"
"99","Antwon","Goyette","MALE","-2010642886489","924189953511","169","Antwon Goyette"
