"id","name","birthDate","power","gender","color"
"88","Gillian Viserion","Mon Nov 04 01:24:01 IST 1968","71","MALE","GRAY"
"89","Bailee Valryon","Wed Jul 24 14:36:54 IST 1968","66","FEMALE","BROWN"
"90","Rosalyn Archonei","Thu Dec 19 11:56:11 IST 1968","38","FEMALE","GRAY"
"91","Rory Dreamfyre","Thu Mar 13 04:04:52 IST 1969","34","FEMALE","GRAY"
"92","Ford Drogon","Mon Jan 06 11:34:42 IST 1969","37","FEMALE","GREEN"
"93","Raymundo Shrykos","Mon Dec 30 11:22:50 IST 1968","57","MALE","BLUE"
"94","Abdul Caraxes","Mon Jan 20 16:56:05 IST 1969","55","MALE","BROWN"
"95","Sadye Archonei","Thu Jun 26 04:25:40 IST 1969","88","FEMALE","GRAY"
"96","Evert Morghul","Fri Oct 11 14:06:35 IST 1968","20","FEMALE","BLACK"
"97","Guillermo Meleys","Tue Sep 17 00:22:01 IST 1968","54","MALE","BLACK"
"98","Wilmer Vermithrax","Sun Mar 30 02:32:08 IST 1969","81","FEMALE","YELLOW"
"99","Theodora Morghul","Tue Apr 22 06:36:02 IST 1969","45","FEMALE","BLACK"
"100","Bernard Essovius","Thu Oct 03 14:22:15 IST 1968","29","MALE","WHITE"
"101","Hunter Rhaegal","Wed Nov 20 14:55:16 IST 1968","52","MALE","WHITE"
"102","Ted Vermithrax","Tue Apr 08 00:00:41 IST 1969","41","FEMALE","BROWN"
"103","Alvis Tyraxes","Thu Apr 10 20:31:15 IST 1969","53","MALE","YELLOW"
"104","Keyshawn Drogon","Sat Nov 30 06:58:45 IST 1968","37","MALE","GREEN"
"105","River Morghul","Tue Oct 22 10:48:44 IST 1968","54","MALE","BLACK"
"106","Lafayette Caraxes","Fri Nov 29 08:50:45 IST 1968","84","FEMALE","GRAY"
"107","Gus Essovius","Wed Sep 04 18:17:01 IST 1968","27","MALE","BROWN"
"108","Fatima Dreamfyre","Wed Jun 18 00:35:49 IST 1969","83","MALE","GRAY"
"109","Eudora Meleys","Wed Sep 25 12:44:41 IST 1968","53","MALE","BROWN"
"110","Neha Sunfyre","Thu Jan 02 21:30:56 IST 1969","41","MALE","BLUE"
"111","Luciano Caraxes","Wed Oct 09 04:00:00 IST 1968","15","MALE","RED"
"112","Nadia Vermithrax","Fri Jan 31 20:29:57 IST 1969","41","MALE","YELLOW"
"113","Bailey Vhagar","Fri May 23 21:33:13 IST 1969","34","MALE","GRAY"
"114","Hassan Morghul","Sat Dec 14 02:34:04 IST 1968","16","FEMALE","GREEN"
"115","Kale Shrykos","Tue Aug 27 20:41:43 IST 1968","82","MALE","YELLOW"
"116","Crystel Morghul","Mon Apr 14 00:25:58 IST 1969","39","FEMALE","GREEN"
"117","Providenci Balerion","Wed Dec 04 04:32:35 IST 1968","21","MALE","BLACK"
"118","Cathrine Archonei","Sun Mar 30 14:56:17 IST 1969","79","FEMALE","GRAY"
"119","Idella Valryon","Wed Jul 31 05:38:57 IST 1968","78","FEMALE","WHITE"
"120","Kyle Meleys","Mon Mar 24 04:41:11 IST 1969","79","MALE","RED"
"121","Dulce Meleys","Sat Aug 03 04:48:08 IST 1968","20","FEMALE","GRAY"
"122","Leanne Viserion","Sat Sep 28 04:33:27 IST 1968","20","MALE","WHITE"
"123","Chelsea Sunfyre","Sun Nov 03 10:53:28 IST 1968","31","MALE","BROWN"
"124","Tremaine Archonei","Mon Sep 30 06:29:00 IST 1968","43","MALE","RED"
"125","Noemie Valryon","Fri Jun 06 13:10:44 IST 1969","37","FEMALE","BROWN"
"126","Florian Dreamfyre","Fri May 23 17:26:28 IST 1969","46","MALE","YELLOW"
"127","Yolanda Viserion","Tue Apr 15 23:14:56 IST 1969","39","MALE","YELLOW"
"128","Delfina Balerion","Thu Sep 26 11:57:11 IST 1968","62","MALE","WHITE"
"129","Angel Shrykos","Sun Jul 14 08:16:15 IST 1968","16","FEMALE","GRAY"
"130","Kendall Ghiscar","Fri Oct 25 01:25:58 IST 1968","45","FEMALE","GREEN"
"131","Frankie Drogon","Mon Oct 21 16:33:00 IST 1968","81","FEMALE","GRAY"
"132","Horacio Morghul","Sun Jul 13 08:51:03 IST 1969","40","MALE","GRAY"
"133","Tyree Vermithrax","Sun Sep 29 20:33:17 IST 1968","68","FEMALE","BROWN"
"134","Aurelie Morghul","Thu Aug 01 04:43:53 IST 1968","68","FEMALE","BLUE"
"135","Gerry Sunfyre","Sat May 24 18:48:39 IST 1969","39","MALE","RED"
"136","Steve Vhagar","Mon Jul 29 18:08:13 IST 1968","72","MALE","BLACK"
"137","Ora Morghul","Mon Dec 02 21:00:59 IST 1968","62","MALE","BLUE"
"138","Joan Archonei","Mon Jul 07 04:18:20 IST 1969","95","MALE","GRAY"
"139","Barrett Meleys","Sat Nov 16 20:11:15 IST 1968","11","FEMALE","GRAY"
"140","Milo Essovius","Fri Sep 06 05:18:49 IST 1968","58","MALE","GRAY"
"141","Rozella Essovius","Thu Mar 06 04:19:47 IST 1969","17","MALE","BROWN"
"142","Hilma Viserion","Sun Feb 02 20:17:38 IST 1969","75","FEMALE","GREEN"
"143","Alaina Dreamfyre","Tue Dec 03 14:09:16 IST 1968","63","FEMALE","BLUE"
"144","Jillian Meleys","Mon Oct 21 16:51:53 IST 1968","26","MALE","GRAY"
"145","Josiane Vermithrax","Fri Jan 31 22:29:05 IST 1969","16","FEMALE","WHITE"
"146","Lawson Drogon","Mon Feb 17 13:14:40 IST 1969","66","FEMALE","BLACK"
"147","Jedediah Shrykos","Mon Aug 12 16:21:53 IST 1968","44","MALE","RED"
"148","Katharina Caraxes","Sun Aug 11 22:58:03 IST 1968","74","MALE","BROWN"
"149","Vito Drogon","Sun Oct 27 19:38:07 IST 1968","47","FEMALE","BROWN"
"150","Anahi Rhaegal","Fri Nov 15 22:57:16 IST 1968","18","FEMALE","BROWN"
"151","Orlando Vhagar","Tue Apr 15 05:40:20 IST 1969","79","FEMALE","GRAY"
"152","Nigel Balerion","Tue Apr 08 06:30:10 IST 1969","15","MALE","GRAY"
"153","Ellie Essovius","Fri Jan 03 11:45:50 IST 1969","76","MALE","BLACK"
"154","Anais Sunfyre","Wed Feb 19 16:50:12 IST 1969","27","MALE","WHITE"
"155","Kaycee Dreamfyre","Tue Feb 04 22:56:49 IST 1969","20","MALE","RED"
"156","Nora Viserion","Mon Sep 02 18:30:13 IST 1968","48","MALE","YELLOW"
"157","Rhea Archonei","Fri Aug 30 22:57:00 IST 1968","83","FEMALE","WHITE"
"158","Lincoln Meraxes","Wed Dec 11 15:43:47 IST 1968","60","MALE","YELLOW"
"159","Jarrett Sunfyre","Sun Jul 28 01:17:48 IST 1968","70","FEMALE","BLACK"
"160","Zelda Balerion","Wed Dec 18 01:17:27 IST 1968","79","FEMALE","YELLOW"
"161","Eloisa Shrykos","Wed Jan 15 12:22:27 IST 1969","90","MALE","BLACK"
"162","Nikki Valryon","Thu Sep 12 10:57:58 IST 1968","64","FEMALE","BROWN"
"163","Sydnee Balerion","Fri Jul 11 12:24:49 IST 1969","71","FEMALE","GREEN"
"164","Antwan Essovius","Sat Dec 21 20:48:09 IST 1968","36","FEMALE","BROWN"
"165","Georgianna Morghul","Tue Dec 03 01:28:52 IST 1968","27","MALE","WHITE"
"166","Dangelo Syrax","Mon Mar 31 13:25:53 IST 1969","90","FEMALE","BROWN"
"167","Dorris Caraxes","Wed Jan 22 23:06:48 IST 1969","15","MALE","GRAY"
"168","Lori Shrykos","Tue Feb 25 17:56:18 IST 1969","16","MALE","YELLOW"
"169","Murl Valryon","Sat Aug 10 10:13:14 IST 1968","80","FEMALE","BROWN"
"170","Chaya Vhagar","Thu May 22 23:46:55 IST 1969","22","MALE","BLUE"
"171","Serenity Meleys","Thu Apr 03 20:21:09 IST 1969","64","MALE","WHITE"
"172","Clemens Drogon","Sat Jan 11 17:57:06 IST 1969","74","MALE","BROWN"
"173","Ruby Viserion","Tue Sep 03 17:37:47 IST 1968","72","FEMALE","GREEN"
"174","Abbie Caraxes","Sun Jan 19 16:39:27 IST 1969","20","FEMALE","BLACK"
"175","Zackery Ghiscar","Fri Mar 14 12:59:20 IST 1969","77","MALE","GRAY"
"176","Randy Meraxes","Sun Apr 27 09:18:22 IST 1969","87","MALE","GREEN"
"177","Clare Vermithrax","Tue Dec 03 20:01:45 IST 1968","73","MALE","GRAY"
"178","Marge Rhaegal","Tue Apr 22 23:21:24 IST 1969","39","MALE","GRAY"
"179","Cloyd Dreamfyre","Thu May 22 06:02:05 IST 1969","76","FEMALE","BLACK"
"180","Jermaine Ghiscar","Sun Sep 15 05:12:56 IST 1968","53","MALE","WHITE"
"181","Allan Morghul","Thu Nov 07 18:35:36 IST 1968","57","FEMALE","GRAY"
"182","Devan Ghiscar","Fri Apr 11 18:04:04 IST 1969","38","MALE","GRAY"
"183","Keara Vermithrax","Sat Apr 19 16:26:14 IST 1969","10","MALE","BLACK"
"184","Ellsworth Valryon","Sun Mar 23 15:36:00 IST 1969","20","MALE","WHITE"
"185","Nellie Meleys","Sat Apr 26 06:08:17 IST 1969","80","MALE","WHITE"
"186","Tony Caraxes","Tue Dec 31 20:15:34 IST 1968","54","FEMALE","GREEN"
"187","Cole Tyraxes","Mon Apr 28 12:26:55 IST 1969","55","FEMALE","GREEN"
"188","Lempi Archonei","Mon Dec 23 03:35:08 IST 1968","24","FEMALE","BLUE"
"189","Darian Meraxes","Tue Nov 26 15:16:01 IST 1968","24","FEMALE","WHITE"
"190","Orion Balerion","Wed Oct 02 22:08:20 IST 1968","59","MALE","WHITE"
"191","Claud Archonei","Tue Apr 29 07:20:29 IST 1969","63","FEMALE","YELLOW"
"192","Sibyl Meraxes","Sun Apr 06 14:23:03 IST 1969","68","FEMALE","GRAY"
"193","Velva Balerion","Sat Jan 11 08:33:27 IST 1969","51","FEMALE","YELLOW"
"194","Amely Syrax","Sun Mar 09 14:52:33 IST 1969","44","MALE","RED"
"195","Benjamin Shrykos","Fri Jul 19 11:17:28 IST 1968","56","MALE","GREEN"
"196","Trudie Sunfyre","Tue Jul 30 18:11:11 IST 1968","88","MALE","GRAY"
"197","Kallie Meraxes","Thu Mar 27 22:31:33 IST 1969","14","MALE","BROWN"
"198","Broderick Drogon","Thu Sep 12 16:59:25 IST 1968","43","FEMALE","BLACK"
"199","Carmelo Meleys","Mon Mar 31 10:08:27 IST 1969","61","MALE","BROWN"
"200","Ally Dreamfyre","Thu May 22 01:19:24 IST 1969","62","MALE","BROWN"
"201","Dexter Shrykos","Mon Aug 19 19:20:44 IST 1968","90","MALE","YELLOW"
"202","Allen Balerion","Mon Oct 28 15:41:54 IST 1968","19","MALE","GREEN"
"203","Sage Meleys","Mon Jun 16 08:10:11 IST 1969","59","FEMALE","BROWN"
"204","Ricky Archonei","Sun Jan 05 22:59:49 IST 1969","86","MALE","BROWN"
"205","Allene Viserion","Tue Apr 22 05:19:10 IST 1969","60","FEMALE","BLACK"
"206","Ressie Syrax","Fri May 09 05:13:01 IST 1969","50","FEMALE","BLUE"
"207","Robbie Ghiscar","Sun Feb 02 19:36:05 IST 1969","39","FEMALE","RED"
"208","Chloe Essovius","Fri Mar 14 06:59:31 IST 1969","66","MALE","BLACK"
"209","Malinda Valryon","Wed Nov 06 19:55:43 IST 1968","72","MALE","BROWN"
"210","Johan Vermithrax","Tue Jul 08 22:42:26 IST 1969","56","MALE","GRAY"
"211","Micah Rhaegal","Wed Oct 30 00:30:29 IST 1968","29","MALE","WHITE"
"212","Lempi Tyraxes","Tue Mar 11 10:30:35 IST 1969","13","FEMALE","RED"
"213","Monique Drogon","Thu Apr 03 00:14:53 IST 1969","73","MALE","BLUE"
"214","Jewel Meraxes","Sat Nov 09 09:08:24 IST 1968","17","FEMALE","GREEN"
"215","Walton Sunfyre","Tue Jun 24 14:32:56 IST 1969","62","MALE","BROWN"
"216","Greyson Essovius","Thu May 08 20:53:44 IST 1969","52","MALE","GRAY"
"217","Deonte Rhaegal","Wed Jun 04 10:48:29 IST 1969","32","MALE","BLACK"
"218","Loren Shrykos","Fri Jul 26 18:22:25 IST 1968","81","FEMALE","WHITE"
"219","Esmeralda Syrax","Wed Sep 25 02:36:17 IST 1968","19","FEMALE","GREEN"
"220","Laurel Valryon","Mon Sep 23 18:04:54 IST 1968","95","MALE","WHITE"
"221","Nigel Vermithrax","Tue May 20 21:55:06 IST 1969","18","MALE","BLUE"
"222","Jewell Valryon","Sun Apr 13 02:06:03 IST 1969","31","FEMALE","GREEN"
"223","Nia Archonei","Sat May 17 12:58:54 IST 1969","19","MALE","RED"
"224","Roman Meraxes","Mon Apr 07 04:28:27 IST 1969","64","FEMALE","BLACK"
"225","Darrion Valryon","Sat May 17 10:30:43 IST 1969","57","MALE","GRAY"
"226","Wilhelm Caraxes","Sat Jul 20 13:11:30 IST 1968","18","MALE","BLUE"
"227","Tressie Shrykos","Sun Mar 16 07:09:39 IST 1969","81","MALE","GRAY"
"228","Tanya Valryon","Wed Jun 04 06:29:47 IST 1969","46","FEMALE","GRAY"
"229","Lizeth Caraxes","Sun Jul 06 18:07:36 IST 1969","35","FEMALE","BROWN"
"230","Keegan Archonei","Wed Jun 25 19:05:11 IST 1969","15","FEMALE","WHITE"
"231","Cassandre Ghiscar","Thu Nov 28 01:33:14 IST 1968","77","MALE","GREEN"
"232","Brandy Meraxes","Tue Jul 01 01:58:54 IST 1969","70","MALE","BROWN"
"233","Al Drogon","Sun Aug 04 16:51:26 IST 1968","29","FEMALE","BLUE"
"234","Nestor Rhaegal","Mon Dec 23 07:30:33 IST 1968","36","MALE","RED"
"235","Lois Vermithrax","Tue Oct 08 18:42:43 IST 1968","56","FEMALE","BLACK"
"236","Rosie Drogon","Sun Sep 15 00:36:40 IST 1968","20","FEMALE","YELLOW"
"237","Dandre Drogon","Mon Nov 25 05:36:47 IST 1968","40","MALE","BLACK"
"238","Neha Sunfyre","Fri Feb 21 08:11:08 IST 1969","42","FEMALE","GRAY"
"239","Felicia Archonei","Tue Jan 28 02:41:21 IST 1969","53","MALE","BLACK"
"240","Bobby Balerion","Mon Nov 25 04:24:49 IST 1968","79","FEMALE","BLACK"
"241","Easton Ghiscar","Tue Mar 18 19:49:42 IST 1969","71","FEMALE","BROWN"
"242","Emiliano Drogon","Mon Dec 02 20:01:05 IST 1968","94","FEMALE","WHITE"
"243","Karina Ghiscar","Tue Oct 08 17:31:57 IST 1968","76","MALE","YELLOW"
"244","Hoyt Dreamfyre","Thu May 01 19:19:50 IST 1969","40","MALE","BROWN"
"245","Russel Meraxes","Fri Jan 17 08:45:23 IST 1969","61","FEMALE","BROWN"
"246","Christina Tyraxes","Fri Jun 13 15:55:29 IST 1969","92","MALE","GRAY"
"247","Dorothea Shrykos","Mon Jun 09 14:52:01 IST 1969","40","MALE","BROWN"
"248","Carey Sunfyre","Sun Feb 16 18:23:14 IST 1969","85","FEMALE","RED"
"249","Felicia Archonei","Wed Dec 04 09:11:16 IST 1968","70","MALE","GREEN"
"250","Austen Morghul","Mon Jul 29 05:34:08 IST 1968","31","FEMALE","BLACK"
"251","Reece Syrax","Fri Mar 07 03:57:16 IST 1969","55","FEMALE","GRAY"
"252","Vicenta Vermithrax","Wed Jan 01 18:45:05 IST 1969","42","FEMALE","WHITE"
"253","Laury Tyraxes","Thu May 01 03:57:50 IST 1969","29","FEMALE","GRAY"
"254","Nicholaus Syrax","Thu Aug 01 16:17:54 IST 1968","12","MALE","WHITE"
"255","Hugh Essovius","Sat Apr 12 11:11:05 IST 1969","41","MALE","BROWN"
"256","Mohammad Sunfyre","Fri Dec 06 00:21:13 IST 1968","72","MALE","BLACK"
"257","Savanna Rhaegal","Sat Jun 14 02:33:23 IST 1969","67","FEMALE","GREEN"
"258","Bettye Tyraxes","Mon Dec 02 12:56:35 IST 1968","14","MALE","GRAY"
"259","Jamison Tyraxes","Sun Jul 14 16:47:30 IST 1968","12","MALE","RED"
"260","Halie Archonei","Wed Jul 02 00:49:09 IST 1969","21","MALE","BLACK"
"261","Jackson Vermithrax","Sat May 17 22:32:29 IST 1969","38","MALE","WHITE"
"262","Jocelyn Viserion","Thu Jan 02 06:45:08 IST 1969","58","MALE","YELLOW"
"263","Dorothy Vermithrax","Sun Nov 24 12:52:11 IST 1968","56","MALE","BLACK"
"264","Van Archonei","Wed Dec 18 10:16:39 IST 1968","26","MALE","WHITE"
"265","Josiah Meleys","Sat Dec 28 01:09:04 IST 1968","20","FEMALE","YELLOW"
"266","Edd Sunfyre","Fri Aug 16 18:53:13 IST 1968","31","MALE","GRAY"
"267","Tyrel Caraxes","Sun Mar 09 17:45:18 IST 1969","69","FEMALE","YELLOW"
"268","Sadie Essovius","Sun Jan 05 16:16:14 IST 1969","44","MALE","GRAY"
"269","Tatum Vermithrax","Thu Dec 19 20:25:38 IST 1968","36","FEMALE","BLUE"
"270","Cloyd Syrax","Sat Apr 19 22:10:23 IST 1969","84","MALE","RED"
"271","Glennie Caraxes","Sat Jul 12 05:44:18 IST 1969","67","FEMALE","GREEN"
"272","Sheldon Meleys","Wed Apr 23 13:57:23 IST 1969","43","FEMALE","RED"
"273","Markus Vermithrax","Wed Oct 09 18:34:06 IST 1968","73","MALE","BLUE"
"274","Danny Sunfyre","Wed Sep 25 08:57:57 IST 1968","47","FEMALE","BLUE"
"275","Hank Drogon","Wed May 14 17:35:20 IST 1969","58","MALE","GREEN"
"276","Cyrus Meraxes","Sat Mar 29 13:48:57 IST 1969","62","MALE","RED"
"277","Wilhelmine Tyraxes","Sun Jul 14 01:33:55 IST 1968","10","MALE","WHITE"
"278","Golda Sunfyre","Tue Sep 03 05:54:19 IST 1968","95","MALE","YELLOW"
"279","Toy Shrykos","Tue Apr 01 16:28:34 IST 1969","86","FEMALE","GREEN"
"280","Horacio Vhagar","Fri Jun 06 20:16:42 IST 1969","44","FEMALE","BLACK"
"281","Loren Vermithrax","Sat Jun 21 17:15:05 IST 1969","24","MALE","WHITE"
"282","Al Drogon","Sat Oct 19 10:17:22 IST 1968","79","MALE","BROWN"
"283","Hipolito Morghul","Mon Nov 25 06:05:33 IST 1968","94","FEMALE","GRAY"
"284","Mohammad Vermithrax","Wed Jun 25 04:40:02 IST 1969","80","MALE","GREEN"
"285","Leanne Viserion","Thu Jul 03 08:22:14 IST 1969","75","FEMALE","GRAY"
"286","Frances Meraxes","Sat Apr 19 03:30:12 IST 1969","36","FEMALE","WHITE"
"287","Felicia Drogon","Mon Jul 15 10:24:00 IST 1968","30","MALE","BROWN"
"288","Gabe Rhaegal","Sun Apr 20 18:47:16 IST 1969","61","FEMALE","BROWN"
"289","Tomas Rhaegal","Sun Sep 01 08:28:45 IST 1968","75","FEMALE","BROWN"
"290","Estel Vermithrax","Sat May 17 13:49:26 IST 1969","58","MALE","BLACK"
"291","Rosa Viserion","Tue Mar 04 14:24:59 IST 1969","34","MALE","GREEN"
"292","Dedrick Tyraxes","Thu Aug 22 19:55:52 IST 1968","93","FEMALE","GRAY"
"293","Ashlynn Archonei","Tue Mar 18 01:10:18 IST 1969","18","MALE","WHITE"
"294","Soledad Shrykos","Sat Oct 05 01:06:14 IST 1968","85","FEMALE","BLACK"
"295","Sid Morghul","Mon Apr 07 07:42:25 IST 1969","75","MALE","BLUE"
"296","Ellen Caraxes","Thu Jul 03 20:51:25 IST 1969","50","FEMALE","BLACK"
"297","Garnet Vermithrax","Sun Dec 01 01:53:31 IST 1968","10","MALE","GRAY"
"298","Ezra Meraxes","Sun Jul 28 00:17:54 IST 1968","55","FEMALE","GREEN"
"299","Nyasia Balerion","Fri Apr 11 19:56:28 IST 1969","18","FEMALE","GREEN"
